X4,X5,X6,X7,X8,X9,F1,Sum
2,6,1,3,6,6,-0.106,24
2,3,1,4,6,8,-0.106,24
1,2,0,3,4,4,-1.311,14
3,5,2,3,5,5,-0.227,23
3,4,3,4,6,6,0.135,26
1,3,1,4,7,8,-0.106,24
3,6,3,5,6,5,0.376,28
4,4,1,3,5,4,-0.468,21
3,6,3,5,5,7,0.496,29
3,5,3,4,5,4,-0.106,24
2,4,2,4,6,4,-0.347,22
3,5,3,4,5,4,-0.106,24
3,4,2,6,5,6,0.135,26
5,4,2,5,5,4,0.014,25
5,6,3,4,4,6,0.376,28
3,4,1,4,4,5,-0.468,21
2,4,1,4,7,5,-0.227,23
2,3,2,4,5,5,-0.468,21
4,5,4,4,5,6,0.376,28
4,4,3,3,5,5,-0.106,24
2,3,1,3,5,5,-0.709,19
2,3,2,4,5,7,-0.227,23
3,6,3,3,5,5,0.014,25
3,3,1,6,5,7,0.014,25
2,4,1,5,5,4,-0.468,21
2,4,1,6,6,4,-0.227,23
3,2,1,4,5,5,-0.588,20
2,3,1,3,6,4,-0.709,19
2,3,2,5,6,9,0.255,27
3,3,2,5,5,5,-0.227,23
2,4,2,5,7,6,0.135,26
2,3,1,2,4,3,-1.191,15
3,5,2,3,4,5,-0.347,22
3,4,2,5,4,6,-0.106,24
1,3,1,3,5,5,-0.829,18
2,5,1,3,4,5,-0.588,20
3,4,2,4,4,5,-0.347,22
3,3,2,4,4,5,-0.468,21
4,5,3,6,5,5,0.376,28
3,5,3,3,5,5,-0.106,24
3,4,2,5,5,5,-0.106,24
2,4,2,3,5,5,-0.468,21
2,4,1,4,5,3,-0.709,19
2,3,1,4,6,7,-0.227,23
5,6,2,5,5,7,0.617,30
3,4,1,5,5,5,-0.227,23
1,1,1,3,6,6,-0.829,18
3,3,1,6,8,5,0.135,26
2,2,1,6,6,6,-0.227,23
4,6,2,3,5,6,0.135,26
2,2,0,2,5,6,-0.95,17
2,5,1,4,5,5,-0.347,22
1,2,0,3,4,5,-1.191,15
3,4,2,3,5,4,-0.468,21
2,5,2,4,5,4,-0.347,22
3,5,1,4,6,6,0.014,25
2,3,2,4,5,6,-0.347,22
3,6,2,3,6,5,0.014,25
1,3,1,3,5,5,-0.829,18
1,3,1,4,6,4,-0.709,19
4,6,3,5,6,6,0.617,30
3,5,2,5,5,5,0.014,25
2,3,1,3,4,5,-0.829,18
3,5,2,6,5,6,0.255,27
3,5,1,3,5,5,-0.347,22
4,5,3,6,5,6,0.496,29
3,4,1,4,6,6,-0.106,24
3,3,2,4,6,4,-0.347,22
3,3,2,7,6,4,0.014,25
4,4,3,5,6,5,0.255,27
2,3,1,4,6,5,-0.468,21
1,2,1,4,6,5,-0.709,19
